plataforma;link_anuncio;titulo;preco;vendedor;avaliacao_nota;avaliacao_numero;descricao;categoria_produto;compatibilidade;capacidade;modelo_cartucho;rendimento_paginas;custo_por_pagina
magalu;https://www.magazineluiza.com.br/cartucho-hp-667-black-original/p/dk6h1b9jc7/in/ctdt/;Cartucho hp 667 Black original;128.04;Magazine Luiza;5.0;11;Os cartuchos Standard foram projetados para proporcionar visibilidade em seus documentos tanto coloridos como em preto. Veja imagens e fotos com detalhes minuciosos e imprima textos nítidos Os cartuchos não causam danos á impressora. Oferecem um desempenho consistente e confiável. Rendem 2x mais Fabricados com até 70% de plástico reciclável Ótima relação custo/benefício. Especificações Cartucho 664XL Volume: 8ml Compatibilidade - Deskjet Ink Advantage 2136 - Deskjet Ink Advantage 2676 - Deskjet Ink Advantage 3776 - DeskJet Ink Advantage 5076 - DeskJet Ink Advantage 5276 Informações Legais: Marcas e Modelos são citados apenas para melhor compreensão dos clientes e como referência técnica para utilização correta dos produtos. Decorre de necessidade legal, além de ser previsto em lei que não pode haver impedimento para tal, conforme o Art. 31 do Código de Defesa do Consumidor (Lei no. 8.078/90) e Art. 132, inciso ii, da Lei da Propriedade Industrial (no. 9.279/96), que são leis federais e seguem transcritos tais dispositivos: Art. 31 do cdc (Lei no. 8.078/90): A oferta e apresentação de produtos e serviços devem assegurar informações corretas, claras, precisas, ostensivas e em língua portuguesa sobre suas características, qualidade, quantidade, composição, preço, garantia, prazos de validade e origem, entre outros dados, bem como sobre os riscos que apresentem à saúde e segurança dos consumidores. Art. 132, inciso ii da lpi (no. 9.279/96): O titular da marca não poderá: (... ) ii- impedir que fabricantes de acessórios utilizem os modelos para indicar a destinação do produto, desde que obedecidas ás práticas leais de concorrência. The brands cited in the ad belong to their respective manufacturers. Only mentioned as references for the correct use of the product, as Article 31 of the Act: 8078 of 11.09.1990. Rendimento médio informado conforme Norma iso/iec 19752. Imagens meramente ilustrativas.;Suprimento de Impressão;Original;Padrão;667;;
magalu;https://www.magazineluiza.com.br/cartucho-hp-667-xl-black-original/p/faje95e4a4/in/ctdt/;Cartucho Hp 667 Xl Black Original;112.58;Magazine Luiza;4.4;23;Cartucho original HP 667 XL (alto rendimento) Para quem busca mais rendimento e qualidade. Recomendado para uso nas maquinas: 1275 / 2374 / 2375 / 2376 / 2775 / 2776 / 6475 / 6476 • Informações Legais: Marcas e Modelos são citados apenas para melhor compreensão dos clientes e como referência técnica para utilização correta dos produtos. Decorre de necessidade legal, além de ser previsto em lei que não pode haver impedimento para tal, conforme o Art. 31 do Código de Defesa do Consumidor (Lei no. 8.078/90) e Art. 132, inciso II, da Lei da Propriedade Industrial (no. 9.279/96), que são leis federais e seguem transcritos tais dispositivos: Art. 31 do CDC (Lei no. 8.078/90): “A oferta e apresentação de produtos e serviços devem assegurar informações corretas, claras, precisas, ostensivas e em língua portuguesa sobre suas características, qualidade, quantidade, composição, preço, garantia, prazos de validade e origem, entre outros dados, bem como sobre os riscos que apresentem à saúde e segurança dos consumidores.” Art. 132, inciso II da LPI (no. 9.279/96): O titular da marca não poderá: (...) II- impedir que fabricantes de acessórios utilizem a marca para indicar a destinação do produto, desde que obedecidas ás práticas leais de concorrência”. The brands cited in the ad belong to their respective manufacturers. Only mentioned as references for the correct use of the product, as Article 31 of the Act: 8078 of 11.09.1990. Rendimento médio informado conforme Norma ISO/IEC 19752. Imagens meramente ilustrativas.;Suprimento de Impressão;Original;XL (Alto Rendimento);667;;
magalu;https://www.magazineluiza.com.br/cartucho-de-tinta-hp-667-preto-advantage-original/p/bgfhb80adb/in/ctdt/;Cartucho De Tinta Hp 667 Preto Advantage Original;53.55;Magazine Luiza;4.7;1999;Características: Aproveite ao máximo sua impressora HP e também sua tinta. Imprima todas as fotos e documentos de alta qualidade que precisar usando os cartuchos de tinta originais HP, que ajudam a garantir que sua impressora HP ofereça os resultados consistentes que você espera. Conclua facilmente seus projetos. Alertas precisos podem ajudar a garantir que você não fique sem tinta na hora errada. Crie documentos atraentes com os cartuchos de tinta HP, projetados para oferecer cores intensas e texto nítido e preciso. Especificações: Rendimento Preto 120 paginas Tecnologia de impressão: Jato de Tinta Capacidade/Rendimento: 2 ml Impressoras Compatíveis: HP Deskjet Ink Advantage 2376 HP Deskjet Ink Advantage 2776 HP Deskjet Ink Advantage 6476 Itens Inclusos: 01 Cartucho Hp 667 Preto Advantage Original;Suprimento de Impressão;Original;Padrão;667;120.0;0.44625
magalu;https://www.magazineluiza.com.br/cartucho-de-tinta-hp-667-colorido-original/p/227961100/in/ctdt/;Cartucho de Tinta HP 667 Colorido Original;56.61;Magazine Luiza;4.7;2626;Com o Cartucho de Tinta HP 667 Colorido você poderá imprimir todos os seus documentos com alta qualidade e excelente custo-benefício. Com capacidade de 2ml, ele traz tinta original HP que garante tons mais brilhantes e rendimento para impressão de até 100 páginas. Além disso, este cartucho possui proteção contra fraude e alertas de pouca tinta. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Com cartuchos muito baratos, obtenha tinta HP original por um preço acessível. Além disso, o cartucho de tinta é feito com mais de 40% de plástico reciclado em média!;Suprimento de Impressão;Original;Padrão;667;100.0;0.5661
magalu;https://www.magazineluiza.com.br/cartucho-de-tinta-hp-662-colorido-original/p/136085200/in/ctdt/;Cartucho de Tinta HP 662 Colorido Original;53.1;Magazine Luiza;4.7;664;Tenha a qualidade da HP que você conhece! Produza documentos, relatórios e fotos em cores vivas, mantendo baixos os custos de impressão, usando cartuchos de tinta HP originais. Ideal para as impressoras Multifuncional HP Deskjet Ink Advantage, este cartucho utiliza a tecnologia proprietária comprovada de tinta com corante para imprimir documentos em cores excepcionais por menos, tudo isso com destaque ecológico: até 70% de material reciclado em 662 corpos de cartucho, e é reciclável com Planet Partners. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Com cartuchos muito baratos, obtenha tinta HP original por um preço acessível.;Suprimento de Impressão;Original;Padrão;662;;
magalu;https://www.magazineluiza.com.br/cartucho-de-tinta-hp-colorido-664-original/p/215122100/in/ctdt/;Cartucho de Tinta HP Colorido 664 Original;54.87;Magazine Luiza;4.7;3352;Imprima todas as suas fotos e documentos com cores mais nítidas, pretos mais intensos e durabilidade superlativa usando os cartuchos de tinta HP originais. Dê as suas idéias mais vida, otimizando recursos com a qualidade e confiabilidade que você só obtém com a HP. Cartucho de tinta 664 Original colorido, imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Aproveite ao máximo sua impressora HP e também sua tinta.;Suprimento de Impressão;Original;Padrão;664;;
magalu;https://www.magazineluiza.com.br/kit-cartucho-de-tinta-hp-667-preto-original-cartucho-de-tinta-hp-667-colorido/p/229881000/in/ctdt/;Kit Cartucho de Tinta HP 667 Preto - Original + Cartucho de Tinta HP 667 Colorido;111.59;Magazine Luiza;4.8;84;Com o Cartucho de Tinta HP 667 Preto você poderá imprimir todos os seus documentos com alta qualidade e excelente custo-benefício. Com capacidade de 2ml, ele traz tinta original HP que garante tons mais brilhantes e rendimento para impressão de até 120 páginas. Além disso, este cartucho possui proteção contra fraude e alertas de pouca tinta. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Com cartuchos muito baratos, obtenha tinta HP original por um preço acessível.;Suprimento de Impressão;Original;Padrão;667;120.0;0.9299166666666667
magalu;https://www.magazineluiza.com.br/cartucho-hp-664-xl-preto-original-2136-2676-3776-5076-5276/p/aee2c3e07d/in/ctdt/;Cartucho Hp 664 Xl Preto Original 2136 2676 3776 5076 5276;115.33;Magazine Luiza;4.5;12;Cartucho Original Hp 664 Black XL Alto rendimento.Compatibilidade: HP Deskjet Ink Advantage 2136, HP Deskjet Ink Advantage 2676, HP Deskjet Ink Advantage 3776, HP DeskJet Ink Advantage 5076, HP DeskJet Ink Advantage 5276Cor: PretoTipo de Desempenho: XLInformações Legais:Marcas e Modelos são citados apenas para melhor compreensão dos clientes e como referência técnica para utilização correta dos produtos. Decorre de necessidade legal, além de ser previsto em lei que não pode haver impedimento para tal, conforme o Art. 31 do Código de Defesa do Consumidor (Lei no. 8.078/90) e Art. 132, inciso II, da Lei da Propriedade Industrial (no. 9.279/96), que são leis federais e seguem transcritos tais dispositivos:Art. 31 do CDC (Lei no. 8.078/90): “A oferta e apresentação de produtos e serviços devem assegurar informações corretas, claras, precisas, ostensivas e em língua portuguesa sobre suas características, qualidade, quantidade, composição, preço, garantia, prazos de validade e origem, entre outros dados, bem como sobre os riscos que apresentem à saúde e segurança dos consumidores.”Art. 132, inciso II da LPI (no. 9.279/96): O titular da marca não poderá: (...) II- impedir que fabricantes de acessórios utilizem a marca para indicar a destinação do produto, desde que obedecidas ás práticas leais de concorrência”.The brands cited in the ad belong to their respective manufacturers. Only mentioned as references for the correct use of the product, as Article 31 of the Act: 8078 of 11.09.1990.Rendimento médio informado conforme Norma ISO/IEC 19752.Imagens meramente ilustrativas.;Suprimento de Impressão;Original;XL (Alto Rendimento);664;;
magalu;https://www.magazineluiza.com.br/cartucho-de-tinta-hp-662-preto-e-colorido-advantage-original/p/ek641055k2/in/ctdt/;Cartucho De Tinta Hp 662 Preto e Colorido Advantage Original;138.94;Magazine Luiza;4.4;66;Características: Aproveite ao máximo sua impressora HP e também sua tinta. Imprima todas as fotos e documentos de alta qualidade que precisar usando os cartuchos de tinta originais HP, que ajudam a garantir que sua impressora HP ofereça os resultados consistentes que você espera. Conclua facilmente seus projetos. Alertas precisos podem ajudar a garantir que você não fique sem tinta na hora errada. Crie documentos atraentes com os cartuchos de tinta HP, projetados para oferecer cores intensas e texto nítido e preciso. Especificações: Rendimento Preto 120 paginas Rendimento Colorido 100 paginas Tecnologia de impressão: Jato de Tinta Capacidade/Rendimento: 4 ml total Impressoras Compatíveis: HP Deskjet Ink Advantage 2516 HP Deskjet Ink Advantage 3516 HP Deskjet Ink Advantage 1516 HP Deskjet Ink Advantage 3546 HP Deskjet Ink Advantage 2546 HP Deskjet Ink Advantage 4646 HP Deskjet Ink Advantage 2646 Itens Inclusos: 01 Cartucho Hp 662 Preto 01 Cartucho Hp 662 Colorido;Suprimento de Impressão;Original;Padrão;662;120.0;1.1578333333333333
magalu;https://www.magazineluiza.com.br/kit-cartucho-de-tinta-hp-662-preto-original-cartucho-de-tinta-hp-662-colorido/p/229880800/in/ctdt/;Kit Cartucho de Tinta HP 662 Preto - Original + Cartucho de Tinta HP 662 Colorido;100.79;Magazine Luiza;4.4;16;Tenha a qualidade da HP que você conhece! Produza documentos, relatórios e fotos em cores vivas, mantendo baixos os custos de impressão, usando cartuchos de tinta HP originais. Ideal para as impressoras Multifuncional HP Deskjet Ink Advantage, este cartucho utiliza a tecnologia proprietária comprovada de tinta com corante para imprimir documentos em cores excepcionais por menos, tudo isso com destaque ecológico: até 70% de material reciclado em 662 corpos de cartucho, e é reciclável com Planet Partners. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Com cartuchos muito baratos, obtenha tinta HP original por um preço acessível.;Suprimento de Impressão;Original;Padrão;662;;
magalu;https://www.magazineluiza.com.br/toner-compativel-hp-cf279a-premium-qualityink/p/da3d887fdk/in/tonr/;Toner Compativel HP CF279A - PREMIUM QUALITYINK;42.47;Magazine Luiza;5.0;12;Com ótimo desempenho o Toner Compativel HP CF – 279A, maximiza a qualidade de impressão. O toner Compativel HP Premium Qualityink é produzido para proporcionar regularidade no seu fluxo e na sua distribuição pelo papel. Capacidade de impressão até 1000 páginas. Cobertura de 5% de acordo com ISO/IEC 19752. Esse é um dos toners mais vendidos , pois ele é compatível com diversas impressoras da marca. Compatibilidade: LaserJet M-12, M-26, M 12A, M 12W, M 26A, M 26NW INFORMAÇÃO: MARCAS E MODELOS SÃO CITADOS APENAS PARA MELHOR COMPREENSÃO DOS CLIENTES E COMO REFERÊNCIA TÉCNICA PARA UTILIZAÇÃO CORRETA DOS PRODUTOS. DECORRE DE NECESSIDADE LEGAL, ALÉM DE SER PREVISTO EM LEI QUE NÃO PODE HAVER IMPEDIMENTO PARA TAL, CONFORME O ART. 31 DO CÓDIGO DE DEFESA DO CONSUMIDOR (LEI No. 8.078/90) E ART. 132, INCISO II, DA LEI DA PROPRIEDADE INDUSTRIAL (No. 9.279/96), QUE SÃO LEIS FEDERAIS.;Suprimento de Impressão;Compatível;Padrão;Outro;1000.0;0.04247
magalu;https://www.magazineluiza.com.br/pack-12-refil-de-tintas-gt52-gt51-53-compativel-para-impressora-hp-serie-350-bulk-ink-do-brasil/p/bdh9cf5bd8/in/gfdt/;Pack 12 Refil de Tintas GT52 GT51/53 Compatível para impressora HP Serie 350 - BULK INK DO BRASIL;127.95;Magazine Luiza;4.9;16;"A Tinta ideal para suas impressões de alta qualidade! Desenvolvida para oferecer o máximo em desempenho e durabilidade, a tinta GT53/GT52 é a escolha perfeita para quem busca impressões nítidas e vibrantes. Seja para trabalhos, estudos ou projetos pessoais, essa tinta garante resultados profissionais. Especificações Técnicas: • Compatibilidade: Projetada para ser utilizada em impressoras com sistema de tanques de tinta, garantindo um encaixe perfeito e funcionamento otimizado. • Modelos: Series Ink tank, ink tank wireless, Smart tank, Deskjet GT5800, 5810, 5820, 100, 300, 400, 500, 600, 310, 410, 350, 450, 510, 550, 610. HP DeskJet GT 5810 All-in-One Printer; HP DeskJet GT 5820 All-in-One Printer; HP Ink Tank 115; HP Ink Tank 116; HP Ink Tank 118. Impressora HP Smart Tank 519 - 3YW73A Impressora HP Smart Tank 615 - Y0F71A Multifuncional HP Smart Tank 502 - 5LG79A Multifuncional sem fio HP Smart Tank 514 - 3YW74A Multifuncional sem fio HP Smart Tank 515 - 1TJ09A Multifuncional sem fio HP Smart Tank 517 - 1TJ10A Multifuncional sem fio HP Smart Tank 532 - 5HX16A Multifuncional sem fio HP Smart Tank 617 - Y0F72A Multifuncional sem fio HP Smart Tank 618 - Y0F73A • Cores Vibrantes: As cores preto, ciano, magenta e amarelo proporcionam uma ampla gama de tonalidades, permitindo a reprodução fiel de suas imagens e gráficos. • Alta Densidade: A alta densidade da tinta garante impressões mais escuras e vibrantes, com excelente cobertura e secagem rápida. • Rendimento: Oferece um alto rendimento, permitindo que você imprima uma grande quantidade de documentos e fotos antes de precisar reabastecer os tanques. • Qualidade: Produzida com materiais de alta qualidade, a tinta GT53/GT52 garante impressões nítidas e precisas, sem manchas ou borrões. • Facilidade de Uso: Os frascos de tinta são práticos e fáceis de manusear, permitindo que você reabasteça os tanques de forma rápida e eficiente. Benefícios: • Economia: Reduza seus custos com impressões, graças ao alto rendimento e à possibilidade de reabastecer os tanques de tinta. • Qualidade Profissional: Obtenha resultados de qualidade profissional, com cores vibrantes e alta definição. • Versatilidade: Ideal para uma variedade de documentos, desde textos simples até fotos e gráficos complexos. • Durabilidade: As impressões são resistentes à água e à descoloração, garantindo a durabilidade de seus trabalhos. Aplicações: • Impressão de documentos: Relatórios, apresentações, trabalhos escolares e universitários. • Impressão de fotos: Crie fotos de alta qualidade para álbuns, molduras e lembranças. • Impressão de gráficos: Desenvolva gráficos e ilustrações com cores vibrantes e precisas. Com a tinta GT53/GT52, você terá a liberdade de imprimir tudo o que quiser, com a qualidade que você merece! Observação: As especificações técnicas podem variar de acordo com o modelo da impressora e as condições de uso.";Impressora;Original;Padrão;Outro;;
